year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,n_qual,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos
2001,129,"Meyer, J.J.",BP00748,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.08611111,27.84194444,C4,1.778,0,0.2,-11.9,0.6,44.1,76.5,-8.074354535
1985,130,Ekokonsult,33-41,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.927,2,1.3,-12.1,1.8,43.4,24.6,-7.706
1929,131,"Skea, D.",69,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.621,2,2,-10.3,2.3,44.4,19.5,-6.841285714
1974,132,"Kok, P.D.F.",518,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.813,2,0,-10.8,1.1,44.2,40.4,-7.483
1997,133,"Riddles, L.M.D.",34,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.691,0,1.5,-12.7,0.6,43,66.9,-8.00226815
1931,134,"Obermeyer, A.A.",TRV 29134,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.882,2,5,-11.1,2,43,21.2,-6.9815
1903,135,"Burtt Davy, J.",33,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.851,0,3.5,-11,1.1,45.2,41.4,-6.765
1921,136,"Pole-Evans, I.B.",217,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.693,2,4.9,-10.7,1.6,43,27.2,-6.89513872
1925,137,"McClean, A.P.D.",20,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.711,2,2.5,-10,2.5,45,18.3,-6.968
1929,138,"Mogg, A.O.D.",PRE 7969,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.966,2,1.7,-10.5,1.9,43.7,22.9,-6.841285714
1997,139,"Riddles, L.M.D.",46,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.834,2,3.4,-12.2,1.1,44.6,39.8,-8.00226815
1974,140,"Kok, P.D.F.",517,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.74,2,2.7,-11.9,1.2,43.1,36.4,-7.483
1978,141,"Smook, L.",1078,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.734,2,-1.6,-26.5,2.2,43.6,19.9,-7.502
1917,142,"Pole-Evans, I.B.",130,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.761,2,6.3,-9.6,1.2,42.3,33.9,-6.919656769
1953,143,"Godfrey, R.K.",SH 1794,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.785,2,6.1,-11.4,1.9,43.8,23,-7.010270232
